username,comment,label,date
anonyme,certains offusqués font semblant de ne pas voir la différence entre vrais réfugiés (surtout des femmes et des enfants)qui fuient la guerre et d'autres(surtout des hommes) qui viennent se goberger à nos frais et qui ne font pas baisser les chiffres du chômage.,,2022-03-16T09:11:54.000Z
,"Düsseldorf (All)&nbsp;: une Ukrainienne violée dans un centre pour réfugiés par deux individus originaires d’Irak et du Nigéria mais possédant aussi la nationalité ukrainienne. Cet acte vous met en colère et abasourdi&nbsp;: Une Ukrainienne aurait été violée dans un refuge pour réfugiés à Düsseldorf&nbsp;! Selon les informations de BILD, le crime s’est produit le 6 mars&nbsp;: une Ukrainienne de 18 ans a été victime d’une agression sexuelle sur le bateau-hôtel “Oscar Wilde”, qui est actuellement également utilisé comme logement pour les réfugiés d’Ukraine. Elle aurait été abusée successivement par deux hommes irakiens et nigérians (37 et 26 ans). Tous deux auraient également la nationalité ukrainienne. La police a ouvert des enquêtes sur le “soupçon de viol”. Entre autres choses, il convient également de clarifier comment les deux auteurs présumés se sont emparés du passeport ukrainien. Les politiciens sont choqués et indignés&nbsp;! Andrea Lindholz (51 ans), chef du groupe parlementaire de l’Union, à BILD&nbsp;: « Les autorités policières doivent spécifiquement assurer la protection des femmes ukrainiennes en contrôlant les logements. L’affaire Düsseldorf nous oblige à agir immédiatement. Le chef du syndicat de la police fédérale, Heiko Teggatz, a déclaré à BILD&nbsp;: “Les politiciens devraient maintenant tout faire pour que des cas de viol aussi terribles que sur le bateau-hôtel de Düsseldorf ne s’accumulent pas.",,2022-03-15T05:43:57.000Z
Nicole Fraigner,Macron et ses relais médiatiques veulent nous empêcher d’avoir un débat sur les sujets qui concernent la France en nous parlant que de la guerre en Ukraine qui est dramatique. Nous devons parler des sujets qui intéresse la France notamment la menace qui égorge nos professeurs et harcèlent nos enfants et des problématiques économiques.,,2022-03-13T11:52:24.000Z
yogi l ours,on comprend mieux pourquoi certains islamo-gauchistes sont devenus si accueillants .,,2022-03-12T08:09:09.000Z
Salluste10,"Encore une immigration déguisée! Les Ukrainiens de naissance préfèrent émigrer dans des pays proches de chez eux où ils s' intégreront parce que c' est un peuple travailleur ,ce qui n' est pas le cas de tous ceux que nous recevons en France et qui ont trouvé la bonne adresse pour recevoir des aides sans participer beaucoup à l' économie du pays!<br>Moi ,je veux bien que la France soit ouverte à un peuple étranger travailleur et participant à la vie économique de notre pays mais malheureusement ce n' est pas le cas et à cause de cette charité mal comprise ,notre dette se creuse sans arrêt&nbsp;!",,2022-03-12T07:45:58.000Z
Salluste10,"C' est cousu de fils blancs ,nous n' allons pas recevoir beaucoup d' Ukrainiens susceptibles de participer par leur travail à la vie économique de la France&nbsp;!",,2022-03-12T07:40:01.000Z
nico781,la notion de REFUGIE doit être clairement et STRICTEMENT definie&nbsp;: certains ne sont que des candidats à l'immigration PAS des réfugiés,,2022-03-11T17:02:35.000Z
nico781,"Il n'y a pas un non ukrainien sur 3 parmi les réfugiés car ce ne SONT PAS des réfugiés&nbsp;! le droit d'asile et le statut de réfugiés sont détourés depuis trop longtemps&nbsp;: des personnes qui fuient l'ukraine sont des réfugiés, certains syriens ou kurdes aussi, et même des russes qui fuient la dictature ou sont menacés. Mais les algériens tunisiens sénégalais angolais ou congolais ou même de serbie ou albanie ne fuient pas des zones de guerres. Ce sont en aucun cas des refugiés&nbsp;: eventuellement des migrants qui SUR DOSSIER valable peuvent être admis ou non mais pas des réfugiés",,2022-03-11T17:01:45.000Z
Patientia,J'ai lu dans la presse anglaise que 150 étudiants nigériens ont été rapatriés dans leur pays et que tous se sont révélés être positifs au covid. Qu'en est-il de l'ensemble des réfugiés ukrainiens et que fait-on à ce sujet&nbsp;?,,2022-03-11T11:19:04.000Z
mitsu hirato,Nous sommes les idiots utiles du monde. Et cela se confirmera avec la réélection de macron,,2022-03-11T10:54:21.000Z
Codesecret,Que dit le proverbe à propos des chevaux qui se battent quand le foin manque au ratelier&nbsp;? En France le foin va manquer bientôt.,,2022-03-11T09:30:30.000Z
clairobscur,"Si j'avais un fils ou une fille étudiant en Ukraine, il me semble que le plus naturel, le plus humain et le plus légal serait de l'accueillir chez moi dans sa famille et dans son pays à son retour. Pourquoi ne raisonne-t-on pas de la même manière pour les étudiants Africains et Maghrébins résidant en Ukraine&nbsp;? Rien ne justifie un statut de réfugié politique en Europe les concernant, ils peuvent très bien rentrer chez eux....",,2022-03-10T15:40:31.000Z
clairobscur,Zemmour vite!,,2022-03-10T14:58:10.000Z
cherry blossom,Donc les Polonais ont fait passer les clandestins qu'ils bloquaient jusque là? on s'est fait rouler dans la farine une fois encore.,,2022-03-10T14:05:31.000Z
cherry blossom,"Donc, on s'est fait avoir c""est ça&nbsp;?",,2022-03-10T14:02:17.000Z
Arnaud Ka,C’était tristement prévisible.,,2022-03-10T13:46:34.000Z
anonyme 56236,Encore une bonne blague. C’est la fin de la France,,2022-03-10T12:33:28.000Z
ARIK,"30% d'infiltrés, c'est énorme.",,2022-03-10T12:05:06.000Z
ARIK,"La France n'a pas a accueillir des gens qui profitent de cet afflux de demandeurs d'asile, eux bien légitimes. Le dictateur Bielorusse avait essayé il y a peu d'introduire des milliers de clandestins en Pologne, en Ukraine et dans les Pays baltes, certains ont donc pu profiter de l'invasion venant de Bielorussie pour venir en Ukraine. D'ailleurs, que faisaient ces immigrés ( Maghrebins et Africains en grande majorité ) en Ukraine, certainement pas pour y travailler, car les Ukrainiens en grand nombre travaillent à l'étranger, faute d'emplois sur place, donc ils n'ont pas besoin d'importer de la main-d'oeuvre étrangère.",,2022-03-10T11:53:50.000Z
